ID;Title;Artist;Year;Duo;Explicit;"Date Added";Styles
50052;Hello;Adele;2015;0;0;2016-05-13;Pop
48052;"Uptown Funk";"Bruno Mars";2014;0;0;2015-01-12;Funk,Pop,Electro
50022;"On écrit sur les murs";"Kids United";2015;0;0;2015-12-30;"French pop,Kids"
50244;"Love Yourself";"Justin Bieber";2015;0;0;2016-02-17;Pop
50548;"7 Years";"Lukas Graham";2015;0;0;2016-02-17;Pop
45000;"All Of Me";"John Legend";2013;0;0;2013-10-08;Soul,Pop
47210;"Thinking Out Loud";"Ed Sheeran";2014;0;0;2014-09-02;Pop,Folk
14609;"Don't Stop Believing";Journey;1981;0;0;2008-01-22;Rock,Pop
50191;"When We Were Young";Adele;2015;0;0;2016-06-05;Pop,Soul
50332;"One Call Away";"Charlie Puth";2015;0;0;2016-02-18;Pop
49375;"Tennessee Whiskey";"Chris Stapleton";2015;0;0;2015-07-21;Blues,Rock,Country
48087;"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;"Country,Love,Soft rock"
50329;"Cake By The Ocean";DNCE;2015;0;1;2016-01-07;Pop,Funk
5037;"House Of The Rising Sun";Traditional;1700;0;0;2008-06-26;Traditionnal,Blues,Rock
45873;"Let It Go";"Idina Menzel";2013;0;0;2015-04-08;"TV & movie soundtrack,Pop"
50819;"J'ai cherché";Amir;2016;0;0;2016-06-07;"French pop"
50058;"Les yeux de la mama";"Kendji Girac";2015;0;0;2016-02-18;"French pop,Latin"
49342;Stitches;"Shawn Mendes";2015;0;0;2015-07-01;Rock,Pop
50906;No;"Meghan Trainor";2016;0;0;2016-04-08;Pop,R&B
6534;"Sweet Caroline";"Neil Diamond";1969;0;0;2011-05-31;Pop
50662;"Cheap Thrills";Sia;2016;0;0;2016-03-10;Pop,Electro
50555;"My Church";"Maren Morris";2016;0;0;2016-02-22;Country,Pop
5065;"Amazing Grace";Traditional;1831;0;0;2008-06-25;Traditionnal,Blues
50130;Sorry;"Justin Bieber";2015;0;0;2016-02-17;Pop,Dance
45218;Happy;"Pharrell Williams";2013;0;0;2013-11-22;"Funk,Soul,Pop,TV & movie soundtrack"
50623;"Lost Boy";"Ruth B";2015;0;0;2016-02-25;Pop
49067;"Ex's & Oh's";"Elle King";2014;0;0;2015-05-28;Rock,Alternative
12617;"Bohemian Rhapsody";Queen;1975;0;0;2008-07-21;Rock
11426;"Summer Nights";Grease;1978;1;0;2008-07-17;"TV & movie soundtrack,Rock 'n Roll,Pop,Oldies,Duet"
5062;"La Bamba";"Mexican Traditional";1600;0;0;2008-06-25;Latin,Traditionnal
5476;"Ring Of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll"
47571;Andalouse;"Kendji Girac";2014;0;0;2014-10-29;"French pop,Electro,Latin"
50688;Work;Rihanna;2016;0;0;2016-03-16;Pop,R&B
35287;"Rolling In The Deep";Adele;2010;0;0;2011-09-05;Pop,Soul
48669;"Like I'm Gonna Lose You";"Meghan Trainor";2015;1;0;2015-03-31;Pop,R&B,Soul,Duet
36600;"Can't Help Falling In Love";"Elvis Presley";1961;0;0;2011-05-30;Pop,Soul,Oldies,Love
48523;"Shut Up And Dance";"Walk The Moon";2014;0;0;2015-02-24;Pop,Rock,Dance
21496;"Make You Feel My Love";Adele;2008;0;0;2011-11-09;Soul,Pop
38671;"A Thousand Years";"Christina Perri";2011;0;0;2012-03-05;"Pop,TV & movie soundtrack"
5777;"The Rose";"Bette Midler";1979;0;0;2007-05-04;"TV & movie soundtrack,Pop"
9066;"My Girl";"The Temptations";1965;0;0;2007-06-18;Soul,Pop,Oldies
50668;"Die Immer Lacht";Stereoact;2015;0;0;2016-06-05;Schlager,Dance,Electro
5103;"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Oldies
21608;Hallelujah;"Alexandra Burke";2008;0;0;2011-05-30;Pop
6126;Crazy;"Patsy Cline";1961;0;0;2007-05-04;Jazz,Pop
51100;"Seite an Seite";"Christina Stürmer";2016;0;0;2016-06-07;Schlager
36011;"Someone Like You";Adele;2011;0;0;2011-05-30;Pop,Soul
5921;"I Will Survive";"Gloria Gaynor";1979;0;0;2007-05-04;Disco
6427;"I Will Always Love You";"Whitney Houston";1992;0;0;2007-05-29;"Love,Soul,Pop,TV & movie soundtrack"
5942;"My Heart Will Go On";"Céline Dion";1997;0;0;2007-05-04;"TV & movie soundtrack,Love,Pop"
10454;"New York, New York";"Frank Sinatra";1979;0;0;2008-01-07;"TV & movie soundtrack,Jazz"
47481;"Shake It Off";"Taylor Swift";2014;0;0;2014-09-01;Pop
8051;Imagine;"John Lennon";1971;0;0;2007-05-15;"Pop,Soft rock"
50478;"Stressed Out";"Twenty One Pilots";2015;0;0;2016-02-11;Rap,Pop
6656;"Folsom Prison Blues";"Johnny Cash";1957;0;0;2007-05-04;Country
47292;"All About That Bass";"Meghan Trainor";2014;0;1;2014-08-29;Pop,Soul
6987;"Sweet Home Alabama";"Lynyrd Skynyrd";1974;0;0;2007-05-30;Rock,Country
43412;"Wagon Wheel";"Darius Rucker";2013;0;0;2013-07-01;Country
51011;"Humble And Kind";"Tim McGraw";2015;0;0;2016-04-21;Country
5117;"Mistral gagnant";Renaud;1985;0;0;2014-01-13;"French pop"
51021;"Don't Be So Shy";Imany;2015;0;0;2016-06-07;Pop,Electro
13717;"Fly Me To The Moon";"Frank Sinatra";1964;0;0;2008-07-18;Jazz
45511;"Say Something";"A Great Big World";2013;1;0;2014-01-08;Pop,Duet
7125;"Friends In Low Places";"Garth Brooks";1990;0;0;2007-05-31;Country
14606;"At Last";"Etta James";1961;0;0;2008-02-07;Soul,Oldies,Blues
11342;Wannabe;"Spice Girls";1996;0;0;2013-10-18;"Pop,Teen pop"
49633;"Burning House";Cam;2015;0;0;2015-09-10;Love,Country
45871;"Libérée, délivrée";Frozen;2013;0;0;2015-04-08;"TV & movie soundtrack,French pop"
17888;"Feeling Good";"Michael Bublé";2006;0;0;2008-05-20;Jazz
13329;"Sweet Child O'Mine";"Guns N' Roses";1990;0;0;2008-01-15;Rock,Hard/Metal
51042;"Huntin', Fishin' and Lovin' Every Day";"Luke Bryan";2015;0;0;2016-05-02;Country
50198;"Send My Love (To Your New Lover)";Adele;2015;0;0;0000-00-00;Pop,Soul
6187;"What A Wonderful World";"Louis Armstrong";1968;0;0;2007-05-29;Pop,Oldies
8284;"Unchained Melody";"The Righteous Brothers";1965;0;0;2007-05-04;Love,Soul,Oldies
49091;"Marvin Gaye";"Charlie Puth";2015;1;0;2015-05-26;Pop,Duet
5520;"Summer Of '69";"Bryan Adams";1984;0;0;2011-05-30;Rock,Pop
12913;"Stand By Me";"Ben E. King";1961;0;0;2008-07-25;Soul
5996;"Les Champs-Élysées";"Joe Dassin";1969;0;0;2012-01-23;"French pop"
51167;"80 Millionen";"Max Giesinger";2016;0;0;2016-06-10;Pop,Schlager
49157;"Fight Song";"Rachel Platten";2015;0;0;2015-06-25;Pop,Electro,Rock
8110;"On va s'aimer";"Gilbert Montagné";1984;0;0;2014-12-24;"French pop,80s"
5089;"Let It Be";"The Beatles";1970;0;0;2011-10-28;Pop
47460;"Le chant des sirènes";"Fréro Delavega";2014;1;0;2015-06-04;"French pop,Duet"
17007;"Always On My Mind";"Willie Nelson";1982;0;0;2012-07-03;Country
48767;"Let It Go";"James Bay";2014;0;0;2015-04-04;Pop,Rock
13033;"Livin' On A Prayer";"Bon Jovi";1986;0;0;2015-12-27;Rock,Hard/Metal
50943;"Dangerous Woman";"Ariana Grande";2016;0;0;2016-04-27;"Teen pop,Pop"
46794;"Auf uns";"Andreas Bourani";2014;0;0;2014-12-24;Pop,Rock
51106;Sofia;"Álvaro Soler";2016;0;0;2016-06-06;Pop,Dance
5416;"Your Song";"Elton John";1969;0;0;2011-10-28;Pop,Love
19332;"Piano Man";"Billy Joel";1973;0;0;2008-07-18;"Soft rock"
51166;"Wir sind groß";"Mark Forster";2016;0;0;2016-06-13;Schlager,Electro
14121;"Take Me Home, Country Roads";"John Denver";1971;0;0;2011-05-31;Country
5092;"Vivo per lei";"Andrea Bocelli";1997;1;0;2008-01-09;"French pop,Duet,Love"
47400;Photograph;"Ed Sheeran";2014;0;0;2014-09-12;Pop
49998;"Geiles Leben";Glasperlenspiel;2015;0;0;2016-02-19;Schlager,Electro,Dance
8203;"Black Velvet";"Alannah Myles";1989;0;0;2007-05-04;Rock
5830;"You Raise Me Up";"Josh Groban";2003;0;0;2007-05-04;Pop,Christian
51246;"Duele el corazón";"Enrique Iglesias";2016;0;0;2016-06-06;Pop,Latin,Reggae,Electro
46789;Chandelier;Sia;2014;0;0;2014-05-26;Pop,R&B
50091;"Church Bells";"Carrie Underwood";2015;0;0;2016-03-02;Country
9965;"These Boots Are Made For Walkin'";"Nancy Sinatra";1965;0;0;2007-05-04;"Pop,Oldies,Soul,Jazz,TV & movie soundtrack"
16365;Jackson;"Johnny Cash";1968;1;0;2012-02-14;Country,Duet
37932;Titanium;"David Guetta";2011;0;0;2012-05-09;Pop,Electro
14236;Zombie;"The Cranberries";1994;0;0;2011-11-02;Rock,Alternative
8747;Angels;"Robbie Williams";1997;0;0;2007-05-04;Pop,Rock
49453;"Can't Feel My Face";"The Weeknd";2015;0;0;2015-09-01;Pop,Funk,Electro
5952;"Sous le vent";Garou;2000;1;0;2013-01-18;"French pop,Duet"
12374;"You're The One That I Want";Grease;1978;1;0;2008-08-25;"Rock 'n Roll,TV & movie soundtrack,Duet"
11229;"Hey Jude";"The Beatles";1968;0;0;2007-06-05;Rock,Pop
46986;Bailando;"Enrique Iglesias";2014;0;0;2014-07-07;Latin,Pop,Reggae
49787;"Si jamais j'oublie";Zaz;2015;0;0;2015-12-30;"French pop,Folk"
5477;"(Sittin' On) The Dock Of The Bay";"Otis Redding";1968;0;0;2012-02-02;Soul
41843;Skyfall;Adele;2012;0;0;2012-10-11;"TV & movie soundtrack,Soul,Pop"
50790;Faded;"Alan Walker";2015;0;0;2016-03-24;Electro,Love
50192;"All I Ask";Adele;2015;0;0;0000-00-00;Pop
50154;Hulapalu;"Andreas Gabalier";2015;0;0;2016-02-22;Schlager,Dance
11289;"House Of The Rising Sun";"The Animals";1964;0;0;2007-06-11;Rock,Blues
46588;"Stay With Me";"Sam Smith";2014;0;0;2014-04-24;Pop,Soul
48055;Sugar;"Maroon 5";2014;0;1;2014-12-12;Pop,Funk,Rock
12258;"Billie Jean";"Michael Jackson";1982;0;0;2011-05-31;Disco,Pop
6430;"(I've Had) The Time Of My Life";"Dirty Dancing";1987;1;0;2007-10-19;"TV & movie soundtrack,Love,Duet"
12416;"Highway To Hell";AC/DC;1979;0;0;2011-05-31;Hard/Metal,Rock
13469;"Before He Cheats";"Carrie Underwood";2006;0;0;2007-12-27;Country,Pop,Rock
12110;Hello;"Lionel Richie";1984;0;0;2012-02-02;"Love,Soft rock"
5468;"I Wanna Dance With Somebody";"Whitney Houston";1987;0;0;2012-03-05;Pop,80s
50451;"Tous les cris les S.O.S";Balavoine(s);2015;0;0;2016-02-15;"French pop"
47142;"I'm Not The Only One";"Sam Smith";2014;0;0;2014-07-22;Pop,Soul
5259;"If I Ain't Got You";"Alicia Keys";2004;0;0;2007-06-25;Soul,Jazz
10798;"Give Me One Reason";"Tracy Chapman";1995;0;0;2007-07-25;"Blues,Soft rock"
5471;"Ain't No Sunshine";"Bill Withers";1971;0;0;2011-10-31;Soul,Blues
10815;"Killing Me Softly";"The Fugees";1996;0;0;2007-05-04;R&B,Rap
11476;"Every Breath You Take";"The Police";1983;0;0;2007-06-06;Pop,Rock
50699;Pillowtalk;Zayn;2016;0;0;2016-03-24;Pop,Electro,R&B
8231;"Girls Just Wanna Have Fun";"Cyndi Lauper";1983;0;0;2008-01-14;"80s,Pop,TV & movie soundtrack"
50620;History;"One Direction";2015;0;0;2016-03-14;"Teen pop,Pop,Rock"
11998;"Back To Black";"Amy Winehouse";2006;0;0;2008-03-25;Soul
7113;"A Whole New World";Aladdin;1992;1;0;2015-03-24;"TV & movie soundtrack,Duet,Love"
5115;"Place des grands hommes";"Patrick Bruel";1989;0;0;2013-12-09;"French pop"
6846;Superstition;"Stevie Wonder";1972;0;0;2007-05-04;Funk
48835;Maman;Louane;2015;0;0;2015-06-08;"French pop"
6020;Manhattan-Kaboul;Renaud;2002;1;0;2013-10-08;"French pop,Duet"
6117;"Total Eclipse Of The Heart";"Bonnie Tyler";1983;0;0;2011-05-30;"Soft rock"
10352;"Can You Feel The Love Tonight";"Elton John";1994;0;0;2015-06-11;"TV & movie soundtrack,Soft rock,Pop"
47716;"Dear Future Husband";"Meghan Trainor";2014;0;0;2014-10-28;R&B,Pop,Soul
6989;"Tears In Heaven";"Eric Clapton";1992;0;0;2007-05-29;Blues,Folk
15439;"Have You Ever Seen The Rain?";"Creedence Clearwater Revival";1970;0;0;2011-05-31;Folk
9455;"I Love Rock 'N Roll";"Joan Jett";1981;0;0;2007-05-04;Rock
14063;"Me And Bobby McGee";"Janis Joplin";1971;0;0;2011-05-31;Rock,Blues,Country
13008;"Barbie Girl";Aqua;1997;1;0;2008-02-07;"Dance,Teen pop,Duet"
50741;"Nobody To Blame";"Chris Stapleton";2015;0;0;2016-03-16;Country,Blues,Rock
45379;"Atemlos durch die Nacht";"Helene Fischer";2013;0;0;2014-03-13;Schlager
20158;"I'm Yours";"Jason Mraz";2008;0;0;2008-08-18;"Pop,Soft rock"
8164;"Les démons de minuit";Images;1986;0;0;2013-06-15;"French pop,80s"
51119;"Just Like Fire";Pink;2016;0;0;2016-06-16;"Pop,TV & movie soundtrack"
47022;"Sur ma route";"Black M";2014;0;0;2014-11-03;"French pop,Rap,Dance"
50287;"Die a Happy Man";"Thomas Rhett";2015;0;0;2016-02-23;Pop,Country
14147;"Oh Happy Day";"Sister Act";1993;0;0;2008-01-14;"Gospel,Musical,TV & movie soundtrack"
51019;"Unlove You";"Jennifer Nettles";2015;0;0;2016-05-04;Country
16317;Summertime;"Ella Fitzgerald";1960;0;0;2008-05-06;Jazz,Soul
38052;"Les sardines";"Patrick Sébastien";2006;0;0;2014-02-07;"French pop"
50916;"Try Everything";Shakira;2016;0;0;2016-04-19;"Pop,TV & movie soundtrack"
39765;"Valerie ('68 version)";"Amy Winehouse";2011;0;0;2012-07-18;Soul,Jazz
6782;"L'envie d'aimer";"Les Dix Commandements";2000;0;0;2011-05-31;"French pop,Musical,Love"
43622;"Cups (You're Gonna Miss Me When I'm Gone)";"Pitch Perfect";2013;0;0;2013-05-22;"TV & movie soundtrack,Folk,Pop,Musical"
49619;Lieblingsmensch;Namika;2015;0;0;2016-02-19;Pop,Folk,Love
12103;Yesterday;"The Beatles";1965;0;0;2011-05-31;Pop,Love
43521;"Get Lucky";"Daft Punk";2013;0;0;2013-04-30;Disco,Funk
50519;Come;Jain;2015;0;0;2016-02-23;Pop,Soul
11939;"Wonderful Tonight";"Eric Clapton";1977;0;0;2007-12-27;Folk,Rock
13500;"Proud Mary";"Tina Turner";1971;0;0;2007-12-21;Gospel,Rock,Soul
48548;"Love Me Like You Do";"Ellie Goulding";2014;0;0;2015-01-29;"Pop,Electro,TV & movie soundtrack"
16412;"Somewhere Over The Rainbow";"Judy Garland";1939;0;0;2011-05-31;"Musical,TV & movie soundtrack"
8530;"I Want It That Way";"Backstreet Boys";1999;0;0;2007-09-12;"Teen pop"
51013;"This Girl";Kungs;2016;0;0;2016-06-05;Pop,Electro,Soul,Funk
50948;"Love on the Brain";Rihanna;2016;0;0;2016-04-15;Pop,Soul
41790;"Just Give Me A Reason";Pink;2012;1;0;2012-11-29;"Pop,Duet,Soft rock"
49539;"Watch Me (Whip / Nae Nae)";Silentó;2015;0;0;2015-09-22;Rap
7252;"Eye Of The Tiger";Survivor;1982;0;0;2014-03-07;"Rock,TV & movie soundtrack"
8285;Celebration;"Kool And The Gang";1980;0;0;2007-05-31;Funk,Disco
5099;"Alexandrie Alexandra";"Claude François";1978;0;0;2014-07-28;"French pop,Disco"
5132;"Allumer le feu";"Johnny Hallyday";1998;0;0;2011-05-30;"French pop,Rock"
48276;"Warum hast du nicht nein gesagt";"Roland Kaiser";2014;1;0;2016-03-24;Schlager,Duet
5462;"Proud Mary";"Creedence Clearwater Revival";1969;0;0;2007-05-04;Folk,Pop
42450;"When I Was Your Man";"Bruno Mars";2012;0;0;2013-01-07;Pop
14565;"Ice Ice Baby";"Vanilla Ice";1990;0;0;2011-05-30;Rap
8596;"Bad Moon Rising";"Creedence Clearwater Revival";1968;0;0;2007-05-04;Rock
5519;"The Best";"Tina Turner";1989;0;0;2012-01-27;Pop,Rock
17465;"Mustang Sally";"The Commitments";1991;0;0;2008-07-17;"Soul,Blues,TV & movie soundtrack"
20125;L-O-V-E;"Nat King Cole";1965;0;0;2008-07-24;Jazz,Oldies
49012;"See You Again";"Wiz Khalifa";2015;1;0;2015-06-18;"Pop,Rap,TV & movie soundtrack,Duet"
14614;"Part Of Your World";"Little Mermaid";1989;0;0;0000-00-00;"TV & movie soundtrack"
12304;Emmenez-moi;"Charles Aznavour";1967;0;0;2011-07-29;"French pop"
51217;Lieveling;"Gerard Joling";2016;0;0;2016-06-09;Schlager
48676;"Cheerleader (Felix Jaehn Remix)";OMI;2014;0;0;2015-03-01;Pop,Electro,Reggae
5105;"J'ai encore rêvé d'elle";"Il était une fois";1975;1;0;2012-02-07;"French pop,Duet,Love"
42288;"Let Her Go";Passenger;2012;0;0;2012-12-14;Folk,Pop
51257;"Daddy Lessons";Beyoncé;2016;0;0;2016-06-06;Pop,R&B,Soul
43051;"Titanium (Acoustic)";"David Guetta";2012;0;0;2013-03-26;Pop
51056;"Work From Home";"Fifth Harmony";2016;0;0;2016-06-06;"Teen pop,Pop,R&B,Rap"
5968;"Je te donne";"Jean-Jacques Goldman";1985;1;0;2015-10-06;"French pop,Duet"
49767;"What Do You Mean?";"Justin Bieber";2015;0;0;2015-10-30;Pop,Dance,Electro
50448;"The Girl You Think I Am";"Carrie Underwood";2015;0;0;2016-02-24;Pop,Folk,Country
12257;"Don't Stop Me Now";Queen;1978;0;0;2007-09-03;Rock,Pop
20926;Margaritaville;"Jimmy Buffett";1977;0;0;2011-05-30;Pop,Folk
5122;"Le Jerk";"Thierry Hazard";1990;0;0;2012-08-08;"French pop,80s"
6922;"Suspicious Minds";"Elvis Presley";1969;0;0;2007-05-04;"Rock 'n Roll"
9539;"It's Not Unusual";"Tom Jones";1965;0;0;2007-06-27;Pop,Soul,Rock,Oldies
6997;"Love Me Tender";"Elvis Presley";1956;0;0;2007-05-04;Love,Oldies
12265;Hallelujah;"Jeff Buckley";1994;0;0;2008-03-17;Folk
10332;"Crazy Little Thing Called Love";Queen;1980;0;0;2007-05-04;Rock
41791;Diamonds;Rihanna;2012;0;0;2012-12-06;Pop,Electro,Soul
9673;"Man! I Feel Like A Woman!";"Shania Twain";1996;0;0;2016-03-21;Country,Pop
5061;"God Save The Queen";"National Anthem";1740;0;0;2008-06-26;Traditionnal
50178;"Hotline Bling";Drake;2015;0;0;2016-02-01;R&B
17875;"He Stopped Loving Her Today";"George Jones";1980;0;0;2011-11-21;Country
12320;Jolene;"Dolly Parton";1974;0;0;2011-05-31;Folk,Country
12684;September;"Earth, Wind & Fire";1978;0;0;2008-07-23;Disco,Funk
6926;Y.M.C.A.;"Village People";1975;0;0;2011-05-30;Pop
51080;"I Took A Pill In Ibiza (Seeb Remix)";"Mike Posner";2015;0;0;2016-06-07;Pop,Electro
15153;"Turn The Page";"Bob Seger";1976;0;0;2011-05-31;Rock
13103;"Johnny B. Goode";"Chuck Berry";1958;0;0;2012-01-04;"Rock 'n Roll,Oldies"
33813;"Count On Me";"Bruno Mars";2010;0;0;2011-05-30;Pop,Soul
50276;"Fire Away";"Chris Stapleton";2015;0;0;2016-02-29;Country,Rock
22114;Hallelujah;"Leonard Cohen";1984;0;0;2011-05-30;"Pop,Love,Soft rock"
7774;"I Am A Man Of Constant Sorrow";"Soggy Bottom Boys";2002;0;0;2007-05-04;"Country,TV & movie soundtrack"
5909;"L'hymne à l'amour";"Edith Piaf";1949;0;0;2012-01-27;"French pop,Oldies,Love"
12864;"Femme libérée";"Cookie Dingler";1984;0;0;2014-04-22;"French pop"
49079;"El perdón";"Nicky Jam";2015;1;0;2015-06-04;Pop,Latin,Duet
41180;"Parler à mon père";"Céline Dion";2012;0;0;2012-09-28;"French pop"
14483;"Baby Got Back";"Sir Mix-a-Lot";1992;0;1;2011-05-31;Rap,Humour
49910;"Writing's On The Wall";"Sam Smith";2015;0;0;2015-11-05;"TV & movie soundtrack,Pop"
5454;"We Are The World";"USA For Africa";1985;0;0;2008-05-06;Pop
47637;"Take Me To Church";Hozier;2013;0;0;2014-10-17;Soul,Rock
6497;"Hit The Road Jack";"Ray Charles";1960;0;0;2007-05-04;"Blues,Rock 'n Roll,Soul"
50979;"Think Of You";"Chris Young";2015;1;0;2016-06-06;Country,Pop,Duet
51096;"Slow Down";Eurovision;2016;0;0;2016-06-05;Pop
11091;"We Are The Champions";Queen;1977;0;0;2007-05-04;Rock
10805;"Les sunlights des tropiques";"Gilbert Montagné";1985;0;0;2012-01-02;"French pop,80s"
7020;"Don't Be Cruel";"Elvis Presley";1956;0;0;2007-08-28;Oldies,Rock
14182;Fever;"Peggy Lee";1958;0;0;2008-05-05;Jazz,Oldies
49823;S.O.B.;"Nathaniel Rateliff & The Night Sweats";2015;0;0;2016-02-25;Soul,Blues,Gospel,Folk,Alternative
49924;"Lush Life";"Zara Larsson";2015;0;0;2015-11-10;Pop,Dance,Electro
51185;"Every Time That You Walk In The Room";"Mike Denver";2007;0;0;2016-06-13;Country
13533;"Georgia On My Mind";"Ray Charles";1960;0;0;2008-07-21;Soul,Jazz
31461;"Amarillo By Morning";"George Strait";1983;0;0;2012-11-19;Country
51250;H.O.L.Y.;"Florida Georgia Line";2016;0;0;2016-06-13;Pop,Rock
27347;"La Bamba";"Los Lobos";1985;0;0;2011-05-30;Latin,Pop,Traditionnal
30193;"Je veux";Zaz;2010;0;0;2012-09-19;"French pop"
32114;"Jar Of Hearts";"Christina Perri";2010;0;0;2011-05-30;"Soft rock,Pop"
49481;"Buy Me A Boat";"Chris Janson";2015;0;0;2015-07-29;Country,Rock
44237;"Counting Stars";OneRepublic;2013;0;0;2013-07-17;Pop,Rock
10783;Africa;Toto;1980;0;0;2007-07-06;Pop,Rock
48008;"Blank Space";"Taylor Swift";2014;0;0;2015-01-12;Pop
44924;"Wrecking Ball";"Miley Cyrus";2013;0;0;2013-09-26;"Pop,Teen pop"
11102;"Under The Boardwalk";"The Drifters";1960;0;0;2011-05-31;Oldies,Rock
19069;"Hit Me With Your Best Shot";"Pat Benatar";1980;0;0;2011-12-21;Rock
46408;Budapest;"George Ezra";2013;0;0;2014-03-26;"Alternative,Folk,Soft rock"
6831;"Don't Know Why";"Norah Jones";2001;0;0;2007-05-04;Jazz,Soul
50157;"No me mirès mas";"Kendji Girac";2015;0;0;2016-06-07;"French pop"
12205;L'aventurier;Indochine;1982;0;0;2014-05-28;"French pop,80s"
12964;"Mon mec à moi";"Patricia Kaas";1988;0;0;2013-05-16;"French pop"
12511;Rehab;"Amy Winehouse";2006;0;0;2007-10-18;Soul
5121;"California Dreamin'";"The Mamas And The Papas";1966;1;0;2012-02-09;Pop,Folk,Duet
12619;"Somebody To Love";Queen;1976;0;0;2008-01-23;Rock
14113;"The Gambler";"Kenny Rogers";1978;0;0;2008-07-21;Country,Folk
38912;"Mama's Broken Heart";"Miranda Lambert";2011;0;0;2012-03-18;Country
49380;"You Know I'm No Good";"Amy Winehouse";2006;0;0;2015-11-24;Rap,Soul
25407;"Need You Now";"Lady Antebellum";2009;0;0;2011-05-30;Country
49182;Flashlight;"Jessie J";2015;0;0;2015-06-16;"TV & movie soundtrack,Pop"
46835;Jolene;"Miley Cyrus";2012;0;0;2014-05-26;Country
50183;"Head Over Boots";"Jon Pardi";2015;0;0;2016-03-16;Country
14228;"Careless Whisper";"George Michael";1984;0;0;2011-05-30;Pop,Love
44385;"Wake Me Up!";Avicii;2013;0;0;2013-09-09;Dance,Electro,Folk,Soul
51082;Ride;"Twenty One Pilots";2015;0;0;2016-06-06;Pop,Rock,Alternative,Reggae
38969;"Dream A Little Dream Of Me";"The Mamas And The Papas";1968;0;0;2012-01-31;Folk
